City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
380,australind,0,IN,1681010454,54,16.0215,80.9181,86.49,3.74
381,australind,0,MN,1681010454,26,48.0056,91.6419,35.96,2.26
382,australind,100,RU,1681010454,44,54.9076,99.0276,31.51,10.29
383,australind,8,MX,1681010335,88,17.9333,-94.0833,74.52,7.31
384,australind,0,MX,1681010454,72,19.9333,-105.25,68.85,1.66
385,australind,7,MV,1681010455,70,2.6708,72.8944,82.67,4.12
386,australind,100,GB,1681010455,89,52.3305,-0.1865,44.47,1.01
387,australind,91,GL,1681010455,84,65.4167,-52.9,19.49,11.21
388,australind,40,RU,1681010455,93,69.4865,88.3972,-14.8,3.27
389,australind,30,LS,1681010455,88,-30.4,27.7003,54.41,3.53
390,australind,1,MZ,1681010455,95,-25.0519,33.6442,70.27,5.19
391,australind,100,US,1681010194,92,36.2946,-76.2511,48.22,16.11
392,australind,100,UZ,1681010456,72,40.4272,71.7189,57.92,2.3
393,australind,75,US,1681010456,70,20.8947,-156.47,78.82,20.71
394,australind,1,CN,1681010456,16,48.0,122.7167,60.89,6.17
395,australind,100,SN,1681010456,18,12.5579,-12.1743,89.15,6.06
396,australind,100,FI,1681010456,93,64.9131,25.5034,21.22,3.44
397,australind,54,SE,1681010457,93,57.6409,18.296,32.22,6.91
398,australind,44,RU,1681010457,67,49.6333,142.1667,29.3,11.83
399,australind,100,RU,1681010458,89,67.6803,53.1512,29.35,18.86
400,australind,75,CA,1681010458,69,65.282,-126.8329,28.44,12.66
401,australind,1,IR,1681010458,19,33.5959,56.9244,62.82,4.61
402,australind,32,IN,1681010459,39,20.6667,75.35,85.59,2.55
403,australind,49,CA,1681010459,98,49.6835,-83.6665,30.45,4.97
404,australind,92,CA,1681010459,87,44.0787,-80.2041,34.59,3.15
405,australind,20,VU,1681010459,70,-13.8833,167.55,88.47,0.0
406,australind,0,US,1681010191,40,47.5002,-111.3008,49.15,16.11
407,australind,64,SV,1681010460,73,13.1969,-88.0544,78.42,4.83
408,australind,17,SO,1681010460,80,10.4396,45.0143,81.25,0.96
409,australind,100,RU,1681010460,94,66.5606,67.7975,13.37,15.52
410,australind,69,GB,1681010461,92,54.2797,-0.4044,44.17,8.99
411,australind,89,NZ,1681010461,90,-45.75,170.5667,55.63,14.97
412,australind,100,RU,1681010461,90,59.1167,159.9667,21.56,11.16
413,australind,99,SY,1681010461,30,34.4506,40.9171,65.57,9.33
414,australind,25,PT,1681010461,92,40.556,-8.6817,55.85,3.78
415,australind,48,SS,1681010462,50,4.7717,33.5903,80.28,18.01
416,australind,0,BD,1681010462,27,23.6233,90.5011,86.02,4.99
417,australind,100,ZA,1681010462,87,-34.0363,23.0471,57.25,2.73
418,australind,100,CM,1681010462,95,5.1563,10.1788,65.08,2.04
419,australind,40,US,1681010463,32,35.2378,-106.6067,64.69,3.0
420,australind,70,CA,1681010463,59,47.5999,-53.2648,26.15,10.0
421,australind,75,PT,1681010463,94,38.7333,-27.0667,59.76,9.6
422,australind,100,NZ,1681010463,93,-35.1,173.7833,67.32,16.44
423,australind,100,CN,1681010464,14,37.9281,102.6414,56.25,1.83
424,australind,100,GB,1681010464,88,51.0333,-4.2167,45.61,14.97
425,australind,99,AL,1681010464,66,40.4667,19.4897,50.23,6.6
426,australind,40,TO,1681010465,83,-19.8,-174.35,80.71,10.36
427,australind,100,MX,1681010465,90,20.2167,-96.7833,69.12,8.46
428,australind,100,RU,1681010465,87,61.67,96.37,15.64,6.69
429,australind,18,RU,1681010465,91,65.7,82.4667,-9.6,8.9
430,australind,82,RU,1681010465,87,65.9667,78.3667,-10.44,2.82
431,australind,5,JP,1681010466,47,33.2833,134.15,56.71,6.15
